count;date
111701;25/9/2015
69083;26/9/2015
80636;27/9/2015
117055;28/9/2015
124970;29/9/2015
123558;30/9/2015
111655;1/10/2015
106014;2/10/2015
71162;3/10/2015
74360;4/10/2015
112071;5/10/2015
118623;6/10/2015
118492;7/10/2015
119176;8/10/2015
111409;9/10/2015
76973;10/10/2015
78663;11/10/2015
115413;12/10/2015
124856;13/10/2015
123660;14/10/2015
121210;15/10/2015
115821;16/10/2015
76035;17/10/2015
82336;18/10/2015
124532;19/10/2015
126133;20/10/2015
123417;21/10/2015
122546;22/10/2015
116900;23/10/2015
77047;24/10/2015
81472;25/10/2015
121198;26/10/2015
132130;27/10/2015
125284;28/10/2015
121323;29/10/2015
117685;30/10/2015
72824;31/10/2015
76069;1/11/2015
121948;2/11/2015
127175;3/11/2015
129882;4/11/2015
127578;5/11/2015
121140;6/11/2015
79926;7/11/2015
87894;8/11/2015
126283;9/11/2015
130053;10/11/2015
122952;11/11/2015
126645;12/11/2015
117266;13/11/2015
78187;14/11/2015
82178;15/11/2015
123452;16/11/2015
127556;17/11/2015
130313;18/11/2015
130984;19/11/2015
122739;20/11/2015
78431;21/11/2015
83057;22/11/2015
127353;23/11/2015
126755;24/11/2015
122773;25/11/2015
105951;26/11/2015
97124;27/11/2015
76104;28/11/2015
82188;29/11/2015
124797;30/11/2015
131118;1/12/2015
128501;2/12/2015
130985;3/12/2015
122138;4/12/2015
85815;5/12/2015
85101;6/12/2015
125667;7/12/2015
129365;8/12/2015
130460;9/12/2015
131886;10/12/2015
120631;11/12/2015
80165;12/12/2015
83093;13/12/2015
125045;14/12/2015
129153;15/12/2015
126803;16/12/2015
119663;17/12/2015
109481;18/12/2015
69896;19/12/2015
72991;20/12/2015
110845;21/12/2015
108859;22/12/2015
100986;23/12/2015
77689;24/12/2015
54769;25/12/2015
60660;26/12/2015
65492;27/12/2015
87076;28/12/2015
95144;29/12/2015
92262;30/12/2015
76176;31/12/2015
57073;1/1/2016
72196;2/1/2016
75507;3/1/2016
110358;4/1/2016
119143;5/1/2016
116210;6/1/2016
118482;7/1/2016
169433;8/1/2016
105169;9/1/2016
81868;10/1/2016
126173;11/1/2016
125050;12/1/2016
127652;13/1/2016
130604;14/1/2016
121004;15/1/2016
81459;16/1/2016
82792;17/1/2016
119025;18/1/2016
130665;19/1/2016
127584;20/1/2016
126796;21/1/2016
119235;22/1/2016
86963;23/1/2016
92570;24/1/2016
129762;25/1/2016
131513;26/1/2016
135423;27/1/2016
130615;28/1/2016
127520;29/1/2016
91721;30/1/2016
94698;31/1/2016
126820;1/2/2016
133236;2/2/2016
134373;3/2/2016
131022;4/2/2016
125506;5/2/2016
87031;6/2/2016
94244;7/2/2016
121222;8/2/2016
128102;9/2/2016
130251;10/2/2016
130580;11/2/2016
123311;12/2/2016
87354;13/2/2016
88822;14/2/2016
125141;15/2/2016
136513;16/2/2016
139454;17/2/2016
138425;18/2/2016
131778;19/2/2016
92780;20/2/2016
102211;21/2/2016
136852;22/2/2016
138679;23/2/2016
135659;24/2/2016
134976;25/2/2016
126860;26/2/2016
83409;27/2/2016
92666;28/2/2016
151494;29/2/2016
133927;1/3/2016
135152;2/3/2016
134100;3/3/2016
128515;4/3/2016
86561;5/3/2016
90284;6/3/2016
128069;7/3/2016
132683;8/3/2016
135213;9/3/2016
135025;10/3/2016
129880;11/3/2016
81909;12/3/2016
84710;13/3/2016
127054;14/3/2016
131696;15/3/2016
133114;16/3/2016
129733;17/3/2016
122611;18/3/2016
84255;19/3/2016
85015;20/3/2016
126151;21/3/2016
130408;22/3/2016
133237;23/3/2016
121908;24/3/2016
107827;25/3/2016
76663;26/3/2016
77760;27/3/2016
109242;28/3/2016
131546;29/3/2016
133345;30/3/2016
127978;31/3/2016
121168;1/4/2016
85936;2/4/2016
84740;3/4/2016
123031;4/4/2016
130130;5/4/2016
132737;6/4/2016
132840;7/4/2016
123392;8/4/2016
82635;9/4/2016
85295;10/4/2016
130763;11/4/2016
138743;12/4/2016
133903;13/4/2016
130106;14/4/2016
124062;15/4/2016
81797;16/4/2016
90068;17/4/2016
130594;18/4/2016
134599;19/4/2016
134930;20/4/2016
129504;21/4/2016
122186;22/4/2016
80781;23/4/2016
85481;24/4/2016
129296;25/4/2016
136562;26/4/2016
131701;27/4/2016
130370;28/4/2016
122570;29/4/2016
79294;30/4/2016
77549;1/5/2016
117536;2/5/2016
150680;3/5/2016
127350;4/5/2016
119457;5/5/2016
116631;6/5/2016
78378;7/5/2016
76187;8/5/2016
121368;9/5/2016
133066;10/5/2016
132744;11/5/2016
127683;12/5/2016
121637;13/5/2016
78503;14/5/2016
81422;15/5/2016
117619;16/5/2016
129902;17/5/2016
141789;18/5/2016
129485;19/5/2016
124842;20/5/2016
77406;21/5/2016
80744;22/5/2016
120364;23/5/2016
129481;24/5/2016
128760;25/5/2016
124042;26/5/2016
116211;27/5/2016
71447;28/5/2016
75370;29/5/2016
110793;30/5/2016
125284;31/5/2016
127408;1/6/2016
125096;2/6/2016
118616;3/6/2016
73294;4/6/2016
77180;5/6/2016
119698;6/6/2016
126458;7/6/2016
126683;8/6/2016
120589;9/6/2016
113209;10/6/2016
73233;11/6/2016
77877;12/6/2016
114861;13/6/2016
125211;14/6/2016
126913;15/6/2016
124199;16/6/2016
114655;17/6/2016
74206;18/6/2016
72880;19/6/2016
115185;20/6/2016
124257;21/6/2016
124174;22/6/2016
122192;23/6/2016
107849;24/6/2016
70708;25/6/2016
70785;26/6/2016
113242;27/6/2016
120647;28/6/2016
120664;29/6/2016
119192;30/6/2016
106963;1/7/2016
66892;2/7/2016
65562;3/7/2016
99390;4/7/2016
112064;5/7/2016
116297;6/7/2016
114722;7/7/2016
107209;8/7/2016
65417;9/7/2016
66251;10/7/2016
109351;11/7/2016
120527;12/7/2016
116556;13/7/2016
114748;14/7/2016
106606;15/7/2016
65603;16/7/2016
69382;17/7/2016
110224;18/7/2016
115130;19/7/2016
113908;20/7/2016
114684;21/7/2016
106860;22/7/2016
66778;23/7/2016
66135;24/7/2016
107083;25/7/2016
115540;26/7/2016
106091;27/7/2016
103927;28/7/2016
96523;29/7/2016
56372;30/7/2016
58372;31/7/2016
96933;1/8/2016
102829;2/8/2016
100967;3/8/2016
105825;4/8/2016
104413;5/8/2016
62689;6/8/2016
65773;7/8/2016
106851;8/8/2016
111906;9/8/2016
113336;10/8/2016
112902;11/8/2016
103257;12/8/2016
63735;13/8/2016
65458;14/8/2016
98811;15/8/2016
112519;16/8/2016
112121;17/8/2016
115943;18/8/2016
113546;19/8/2016
70364;20/8/2016
71165;21/8/2016
112490;22/8/2016
116420;23/8/2016
117286;24/8/2016
115387;25/8/2016
114222;26/8/2016
68751;27/8/2016
71417;28/8/2016
111345;29/8/2016
119774;30/8/2016
117461;31/8/2016
124450;1/9/2016
104063;2/9/2016
65545;3/9/2016
70061;4/9/2016
110090;5/9/2016
118595;6/9/2016
119405;7/9/2016
115601;8/9/2016
110856;9/9/2016
67898;10/9/2016
71727;11/9/2016
111647;12/9/2016
121311;13/9/2016
117433;14/9/2016
113011;15/9/2016
107133;16/9/2016
69876;17/9/2016
76861;18/9/2016
207539;19/9/2016
211907;20/9/2016
115586;21/9/2016
114577;22/9/2016
108476;23/9/2016
69383;24/9/2016
74402;25/9/2016
112116;26/9/2016
117427;27/9/2016
117981;28/9/2016
118991;29/9/2016
112222;30/9/2016
75117;1/10/2016
72906;2/10/2016
107800;3/10/2016
116034;4/10/2016
117316;5/10/2016
115254;6/10/2016
107448;7/10/2016
72432;8/10/2016
76784;9/10/2016
110522;10/10/2016
119741;11/10/2016
119751;12/10/2016
118099;13/10/2016
113115;14/10/2016
73671;15/10/2016
80561;16/10/2016
125105;17/10/2016
129188;18/10/2016
128512;19/10/2016
123334;20/10/2016
109494;21/10/2016
79920;22/10/2016
83321;23/10/2016
122993;24/10/2016
131497;25/10/2016
129198;26/10/2016
124429;27/10/2016
112867;28/10/2016
74637;29/10/2016
79427;30/10/2016
117486;31/10/2016
121302;1/11/2016
126222;2/11/2016
126317;3/11/2016
117295;4/11/2016
81645;5/11/2016
85645;6/11/2016
124080;7/11/2016
129317;8/11/2016
111609;9/11/2016
119155;10/11/2016
107225;11/11/2016
75818;12/11/2016
82806;13/11/2016
125930;14/11/2016
130239;15/11/2016
128174;16/11/2016
126007;17/11/2016
116300;18/11/2016
77548;19/11/2016
84942;20/11/2016
122578;21/11/2016
126893;22/11/2016
124738;23/11/2016
107507;24/11/2016
98181;25/11/2016
75813;26/11/2016
80099;27/11/2016
124269;28/11/2016
131038;29/11/2016
127829;30/11/2016
126982;1/12/2016
119518;2/12/2016
75970;3/12/2016
80522;4/12/2016
121174;5/12/2016
127706;6/12/2016
125967;7/12/2016
128137;8/12/2016
117651;9/12/2016
78974;10/12/2016
90882;11/12/2016
126016;12/12/2016
129544;13/12/2016
128731;14/12/2016
126021;15/12/2016
118642;16/12/2016
73489;17/12/2016
78138;18/12/2016
120337;19/12/2016
124447;20/12/2016
119749;21/12/2016
114376;22/12/2016
93417;23/12/2016
60717;24/12/2016
53888;25/12/2016
72759;26/12/2016
91326;27/12/2016
96846;28/12/2016
98411;29/12/2016
92818;30/12/2016
67512;31/12/2016
63456;1/1/2017
92893;2/1/2017
117040;3/1/2017
123662;4/1/2017
121671;5/1/2017
114940;6/1/2017
83090;7/1/2017
93893;8/1/2017
125326;9/1/2017
134202;10/1/2017
130338;11/1/2017
129583;12/1/2017
121092;13/1/2017
84258;14/1/2017
89433;15/1/2017
121649;16/1/2017
130872;17/1/2017
136124;18/1/2017
133758;19/1/2017
122623;20/1/2017
87673;21/1/2017
96641;22/1/2017
128802;23/1/2017
131772;24/1/2017
133356;25/1/2017
123212;26/1/2017
114953;27/1/2017
79578;28/1/2017
86420;29/1/2017
121705;30/1/2017
129225;31/1/2017
126556;1/2/2017
131286;2/2/2017
124143;3/2/2017
88791;4/2/2017
91020;5/2/2017
127166;6/2/2017
137594;7/2/2017
137727;8/2/2017
134871;9/2/2017
130450;10/2/2017
89486;11/2/2017
96622;12/2/2017
133135;13/2/2017
134498;14/2/2017
133964;15/2/2017
139425;16/2/2017
131641;17/2/2017
89920;18/2/2017
93986;19/2/2017
131653;20/2/2017
140788;21/2/2017
143426;22/2/2017
136914;23/2/2017
131230;24/2/2017
90745;25/2/2017
95062;26/2/2017
133871;27/2/2017
137251;28/2/2017
137950;1/3/2017
136591;2/3/2017
127809;3/3/2017
86803;4/3/2017
94917;5/3/2017
135391;6/3/2017
140659;7/3/2017
136428;8/3/2017
137962;9/3/2017
136395;10/3/2017
89428;11/3/2017
94052;12/3/2017
134959;13/3/2017
143420;14/3/2017
140333;15/3/2017
138937;16/3/2017
128294;17/3/2017
87342;18/3/2017
94043;19/3/2017
137824;20/3/2017
142273;21/3/2017
140031;22/3/2017
150599;23/3/2017
129222;24/3/2017
87190;25/3/2017
92394;26/3/2017
134999;27/3/2017
142757;28/3/2017
149576;29/3/2017
143188;30/3/2017
130420;31/3/2017
88888;1/4/2017
87017;2/4/2017
129921;3/4/2017
137945;4/4/2017
